Invoice No, Delivery Date,Fuel Type ,Quantity, Unit,Cost (AUD),Site Area
INV-40455,27/07/2025,Diesel,65950,L,117551.74,Processing Plant
INV-40282,Mar-25,Diesel,33704,L,58922.26,Processing Plant
INV-40309,15/03/2025,Petrol (ULP),5178,L,9579.30,Light Vehicles
INV-40786,2026-02-12,Diesel,61658,L,"$106,539.02",Processing Plant
INV-40539,13/08/2025,Diesel,45860,L,86761.15,Haul Fleet
INV-40686,Jan-26,Diesel,78195,L,148502.10,Open Cut - South Pit
INV-40274,13/03/2025,Diesel,56006,litres,107148.24,Open Cut - North Pit
INV-40408,27/06/2025,Diesel,30482,litres,"$55,101.13",Open Cut - North Pit
INV-40384,13/06/2025,Diesel,34795,L,"$61,455.60",Open Cut - North Pit
INV-40357,09/05/2025,Diesel,70670,Litres,134515.51,Processing Plant
INV-40266,Mar-25,Diesel,70138,L,134871.74,Processing Plant
INV-40808,07/03/2026,Diesel,125320,L,225078.32,Processing Plant
INV-40393,Jun-25,Diesel,82175,L,"$158,077.05",Open Cut - North Pit
INV-40328,Apr-25,Diesel,53508,L,"$97,762.91",Open Cut - North Pit
INV-40210,15/01/2025,Diesel,52.15,kL,92202.65,Open Cut - North Pit
INV-40962,Jun-26,Diesel,71897,L,132468.35,Processing Plant
INV-40610,05/10/2025,Diesel,73770,litres,129992.44,Open Cut - North Pit
INV-40461,21/07/2025,Diesel,70661,L,135311.63,Haul Fleet
INV-40338,18/04/2025,Diesel,71468,L,"$124,003.02",Haul Fleet
INV-40236,04/01/2025,Diesel,39492,L,71229.21,Haul Fleet
INV-40396,02/06/2025,Diesel,67729,L,121443.51,Haul Fleet
INV-40660,09/12/2025,Diesel,47642,L,88496.29,Site Services
INV-40558,26/09/2025,Diesel,59163,L,"$109,576.10",Site Services
INV-40833,11/04/2026,Diesel,99362,L,"$174,742.74",Processing Plant
INV-40605,2025-10-13,Diesel,52470,L,"$96,601.60",Open Cut - South Pit
INV-40292,23/03/2025,Diesel,74568,L,"$136,748.68",Open Cut - North Pit
INV-40865,05/04/2026,Diesel,41.78,kL,72207.15,Open Cut - North Pit
INV-40967,15/06/2026,Petrol (ULP),4183,L,7738.55,Light Vehicles
INV-40949,21/06/2026,Diesel,41459,L,"$76,580.59",Processing Plant
INV-40948,15/06/2026,Diesel,52572,L,101307.90,Light Vehicles
INV-40427,20/06/2025,Diesel,52874,Litres,90962.26,Processing Plant
INV-40266,Mar-25,Diesel,70138,L,134871.74,Processing Plant
INV-40551,15/08/2025,Petrol (ULP),4874,L,9016.90,Light Vehicles
INV-40883,23/05/2026,Diesel,93502,L,"$180,939.01",Open Cut - South Pit
INV-40329,19/04/2025,Diesel,73541,L,127415.02,Open Cut - South Pit
INV-40856,25/04/2026,Diesel,76435,L,145297.54,Open Cut - North Pit
INV-40472,2025-07-27,Diesel,51296,L,99376.91,Site Services
INV-40848,Apr-26,Diesel,66611,L,"$126,158.32",Processing Plant
INV-40619,05/10/2025,Diesel,92879,Litres,"$163,418.96",Processing Plant
INV-40530,2025-08-26,Diesel,40035,Litres,"$71,081.55",Open Cut - North Pit
INV-40480,Jul-25,Diesel,75506,L,144934.75,Open Cut - North Pit
INV-40652,Dec-25,Diesel,117980,L,"$203,773.15",Open Cut - South Pit
INV-40493,24/08/2025,Diesel,48.58,kL,87909.73,Open Cut - South Pit
INV-40368,06/05/2025,Diesel,48662,litres,"$91,380.31",Processing Plant
INV-40256,14/02/2025,Diesel,61091,litres,"$111,923.79",Open Cut - North Pit
INV-41777,14/08/2025,Diesel,-12500,L,"$-23,375.00",Haul Fleet
INV-40239,15/01/2025,Petrol (ULP),4093,L,7572.05,Light Vehicles
INV-40910,May-26,Diesel,63975,litres,120272.85,Processing Plant
INV-40942,25/06/2026,Diesel,89479,L,164855.92,Processing Plant
INV-40300,12/03/2025,Diesel,38845,L,69192.71,Processing Plant
INV-40298,19/03/2025,Diesel,56005,L,96416.83,Open Cut - North Pit
INV-40265,15/02/2025,Petrol (ULP),4021,L,7438.85,Light Vehicles
INV-40308,2025-03-17,Diesel,48571,litres,"$90,584.07",Open Cut - South Pit
INV-40651,08/12/2025,Diesel,106746,litres,"$187,292.02",Open Cut - North Pit
INV-40625,2025-10-17,Diesel,68418,L,"$120,453.25",Site Services
INV-40715,26/01/2026,Diesel,29261,litres,56300.84,Haul Fleet
INV-40400,27/06/2025,Diesel,36909,L,63798.55,Open Cut - North Pit
INV-40672,15/12/2025,Petrol (ULP),4954,L,9164.90,Light Vehicles
INV-40839,10/04/2026,Diesel,81162,Litres,"$156,872.01",Haul Fleet
INV-40799,15/02/2026,Petrol (ULP),4219,L,7805.15,Light Vehicles
INV-40724,2026-01-05,Diesel,44571,L,"$83,012.83",Site Services
INV-40488,15/07/2025,Petrol (ULP),4852,L,8976.20,Light Vehicles
INV-40935,13/06/2026,Diesel,60338,L,"$110,076.82",Open Cut - North Pit
INV-40311,2025-04-10,Diesel,65067,litres,118257.65,Processing Plant
INV-40244,19/02/2025,Diesel,46620,L,88831.10,Open Cut - North Pit
INV-40357,09/05/2025,Diesel,70670,Litres,134515.51,Processing Plant
INV-40287,2025-03-21,Diesel,62543,L,120355.19,Haul Fleet
INV-40767,Feb-26,Diesel,65927,L,"$118,210.36",Haul Fleet
INV-40349,09/05/2025,Diesel,63515,L,"$118,631.25",Open Cut - South Pit
INV-40376,15/05/2025,Petrol (ULP),4167,L,7708.95,Light Vehicles
INV-40440,15/06/2025,Petrol (ULP),4372,L,8088.20,Light Vehicles
INV-40214,Jan-25,Diesel,48661,L,"$88,506.34",Haul Fleet
INV-40678,23/01/2026,Diesel,65027,L,"$122,763.23",Open Cut - South Pit
INV-40667,09/12/2025,Diesel,60914,L,"$115,849.42",Open Cut - North Pit
